FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,forage_chateau_nom,organisme,geometry
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7345,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.2007916666666671 6.206308333333332)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7346,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.2015066666666663 6.2082500000000005)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7347,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.2024299999999999 6.208016666666667)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7348,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.20366648982033 6.207501047411497)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7349,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.2014266666666673 6.208295000000001)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_734a,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.2054033333333332 6.207739999999999)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_734b,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.2016449999999994 6.2070033333333345)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_734c,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.2020400000000009 6.207326666666667)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_734d,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.2012250000000002 6.206719999999999)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_734e,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.1842100000000002 6.216210000000002)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_734f,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.1897866666666668 6.210908333333333)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7350,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.2186116666666666 6.240578333333334)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7351,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.182713333333333 6.21202)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7352,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.1826800000000004 6.211938333333333)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7353,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.1765300000000003 6.221500000000001)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7354,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.2103000000000004 6.2430049999999975)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7355,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.2231116666666664 6.228179999999999)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7356,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.2004650000000003 6.206983333333333)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7357,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,POINT (1.200398333333334 6.207581666666664)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7358,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Forage,TDE,POINT (1.1561183333333338 6.2730999999999995)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7359,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Forage,TDE,POINT (1.1620783333333329 6.298450000000001)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_735a,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Forage,TDE,POINT (1.1648316666666674 6.302976666666666)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_735b,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Forage,TDE,POINT (1.1770266666666669 6.213389999999999)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_735c,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Forage,TDE,POINT (1.1736916666666666 6.218505)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_735d,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Forage,TDE,POINT (1.1736850000000008 6.218591666666667)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_735e,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Forage,TDE,POINT (1.1789949999999998 6.217398333333332)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_735f,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Nsp,TDE,POINT (1.1608283333333342 6.218258333333333)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7360,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Forage,TDE,POINT (1.2093516666666666 6.262661666666665)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7361,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Forage,TDE,POINT (1.2202866666666665 6.263633333333332)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7362,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Château de Dikame,TDE,POINT (1.2327200000000003 6.244791666666666)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7363,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Forage,TDE,POINT (1.2118116666666667 6.27798)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7364,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Château de Fidokpui,TDE,POINT (1.2236500000000001 6.261855000000001)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7365,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Forage,TDE,POINT (1.1820249999999999 6.292586666666667)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7366,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Forage B'16Bis,TDE,POINT (1.2071983333333343 6.314719999999999)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7367,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Forage,TDE,POINT (1.2135000000000002 6.344771666666666)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7368,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Forage,TDE,POINT (1.2109200000000004 6.323951666666668)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7369,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Forage C'10,TDE,POINT (1.2193083333333334 6.322853333333334)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_736a,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Forage,TDE,POINT (1.1973500000000004 6.316366666666667)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_736b,Maritime,Vo,Vo 1,Vogan,Forage Massekope,TDE,POINT (1.5386000000000004 6.366030000000001)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_736c,Maritime,Vo,Vo 1,Vogan,Forage,TDE,POINT (1.5105283333333333 6.285457635839358)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_736d,Maritime,Vo,Vo 1,Vogan,Forage,TDE,POINT (1.456863333333333 6.333263333333334)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_736e,Maritime,Bas-Mono,Bas-Mono 1,Kpétsou,Forage de Kpessou,TDE,POINT (1.5838533333333336 6.5238033333333325)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_736f,Maritime,Vo,Vo 1,Vo-Koutimé,Nsp,TDE,POINT (1.5855866666666671 6.334843333333333)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7370,Maritime,Vo,Vo 1,Vo-Koutimé,Nsp,TDE,POINT (1.6058566666666672 6.378925)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7371,Maritime,Vo,Vo 1,Vo-Koutimé,Nsp,TDE,POINT (1.55241 6.3525599999999995)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7372,Maritime,Vo,Vo 2,Togoville,Forage,TDE,POINT (1.518326933154162 6.240244005855418)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7373,Maritime,Vo,Vo 2,Togoville,Nsp,TDE,POINT (1.475731666666667 6.240231666666666)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7374,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Forage de Saint Jean de Dieu,TDE,POINT (1.630853333333333 6.494910000000001)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7375,Maritime,Bas-Mono,Bas-Mono 2,Agome-Glozou,Forage du Château de Agbetiko,TDE,POINT (1.6879866666666674 6.496021666666666)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7376,Maritime,Vo,Vo 3,Dagbati,Nsp,TDE,POINT (1.492178333333333 6.429775000000002)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7377,Maritime,Vo,Vo 3,Dzrékpo,Nsp,TDE,POINT (1.5667666666666662 6.454429275512832)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7378,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Forage de Lankouvi,TDE,POINT (1.1262916666666665 6.178793333333334)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7379,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Forage de Kleme,TDE,POINT (1.111234999999999 6.2121233333333326)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_737a,Maritime,Lacs,Lacs 2,Aklakou,Forage de Aklakou,TDE,POINT (1.7065183333333338 6.331805)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_737b,Maritime,Lacs,Lacs 4,Fiata,Forage de Attoeta,TDE,POINT (1.6634083333333334 6.301434999999999)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_737c,Maritime,Lacs,Lacs 4,Ganavé,Forage de Fiata,TDE,POINT (1.6342433333333328 6.327195000000001)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_737d,Maritime,Zio,Zio 1,Dalavé,Forage,TDE,POINT (1.2386200000000005 6.3641766666666655)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_737e,Maritime,Zio,Zio 1,Dalavé,Forage,TDE,POINT (1.259591666666667 6.378316666666665)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_737f,Maritime,Zio,Zio 1,Gbatopé,Forage,TDE,POINT (1.306855 6.406038333333333)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7380,Maritime,Zio,Zio 1,Gbatopé,Forage,TDE,POINT (1.3104883333333333 6.4241416666666655)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7381,Maritime,Zio,Zio 1,Gbatopé,Forage,TDE,POINT (1.3023050000000003 6.41805)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7382,Maritime,Zio,Zio 1,Gbatopé,Forage,TDE,POINT (1.3106049999999998 6.42417)
_mview_eau_forages_chateau_eau.fid-7b1c8a4a_193de71e9d0_7383,Maritime,Zio,Zio 1,Gbatopé,Forage,TDE,POINT (1.310506666666667 6.424131666666667)
