"indicateur","Unit","Date","Value"
"Zone Franche","m3","2018","143446"
"Zone Franche","m3","2019","156507"
"Zone Franche","m3","2020","148925"
"Zone Franche","m3","2021","135295"
"Zone Franche","m3","2022","126092"
"Représentations Diplomatiques","m3","2018","1562"
"Représentations Diplomatiques","m3","2019","3873"
"Représentations Diplomatiques","m3","2020","10272"
"Représentations Diplomatiques","m3","2021","16233"
"Représentations Diplomatiques","m3","2022","20970"
"Cautionnés Etat","m3","2018","4332"
"Cautionnés Etat","m3","2019","8041"
"Cautionnés Etat","m3","2020","10002"
"Cautionnés Etat","m3","2021","12705"
"Cautionnés Etat","m3","2022","10061"
"Collectivités","m3","2019","112"
"Collectivités","m3","2020","15065"
"Collectivités","m3","2021","33967"
"Collectivités","m3","2022","34988"
"Concessions TdE","m3","2018","44548"
"Concessions TdE","m3","2019","102101"
"Concessions TdE","m3","2020","100528"
"Concessions TdE","m3","2021","64175"
"Concessions TdE","m3","2022","63573"
"Potence","m3","2020","4769"
"Potence","m3","2021","22753"
"Potence","m3","2022","28305"
"Agents TdE","m3","2018","64267"
"Agents TdE","m3","2019","60691"
"Agents TdE","m3","2020","53904"
"Agents TdE","m3","2021","53518"
"Agents TdE","m3","2022","47973"
"Forage Usage Industries","m3","2021","118098"
"FORAGE Usage Autres","m3","2022","141387"
