"indicateurs","Unit","Date","Value"
"TOGO","","2010","6191155"
"LOME","","2010","839566"
"ARRONDISSEMENT I","","2010","25876"
"QUARTIER ADMINISTRATIF","","2010","1609"
"WETRIVI KONDJI","","2010","1730"
"FREAU JARDIN","","2010","842"
"SANGUERA","","2010","2231"
"KOKETIME","","2010","1669"
"BENIGLATO","","2010","4713"
"AGUIAKOME","","2010","5137"
"ABOBOKOME","","2010","2444"
"ADOBOUKOME","","2010","3854"
"ADAWLATO","","2010","718"
"AGBADAHONOU","","2010","929"
"ARRONDISSEMENT II","","2010","348876"
"TOKOIN TAME","","2010","6534"
"TOKOIN WUITI","","2010","21711"
"TOKOIN N'KAFU","","2010","14229"
"TOKOIN FOREVER","","2010","3771"
"SAINT JOSEPH","","2010","7881"
"N'TIFAFA KOME","","2010","6815"
"HEDZRANAWOE","","2010","55900"
"KELEGOUGAN","","2010","9168"
"RESIDENCE DU BENIN","","2010","1007"
"BE KPOTA","","2010","48557"
"ANFAME","","2010","62698"
"ADAKPAME","","2010","28816"
"KANYIKOPE","","2010","23109"
"ATTIEGOU","","2010","27777"
"LOME II","","2010","4756"
"TOKOIN AEROPORT","","2010","244"
"AKODESSEWA KPOTA","","2010","12067"
"AKODESSEWA KPONOU","","2010","12630"
"UNIVERSITE DE LOME","","2010","1206"
"ARRONDISSEMENT III","","2010","187573"
"DOULASSAME","","2010","11473"
"AMOUTIVE","","2010","11862"
"LOM NAVA","","2010","6004"
"BASSADJI","","2010","2909"
"BE KPEHENOU","","2010","8831"
"KOTOKOU KONDJI","","2010","4837"
"BE AHLIGO","","2010","7274"
"BE HOPITAL","","2010","16468"
"BE HEDJE","","2010","16091"
"AKODESSEWA","","2010","7974"
"WETE","","2010","13513"
"GBENYEDJI","","2010","16342"
"ABLOGAME","","2010","11543"
"ZONE PORTUAIRE","","2010","10128"
"ANTONIO NETIME","","2010","2191"
"SOUZA NETIME","","2010","26434"
"BE APEYEME","","2010","13699"
"ARRONDISSEMENT IV","","2010","60031"
"KODJOVIAKOPE","","2010","21102"
"NYEKONAKPOE","","2010","28485"
"OCTAVIONO NETIME","","2010","6965"
"HANOUKOPE","","2010","3479"
"ARRONDISSEMENT V","","2010","217210"
"TOKOIN SOLIDARITE","","2010","11221"
"TOKOIN OUEST","","2010","11675"
"TOKOIN HOPITAL","","2010","7719"
"DOGBEAVOU","","2010","12589"
"GBADAGO","","2010","13561"
"TOKOIN ELAVAGNON","","2010","9079"
"TOKOIN LYCEE","","2010","3707"
"GBONVIE","","2010","7407"
"DOUMASSESSE","","2010","23793"
"ABOVE","","2010","7021"
"BE KLIKAME","","2010","10429"
"CASABLANCA","","2010","2721"
"AKOSSOMBO","","2010","4394"
"AFLAO GAKLI","","2010","20537"
"AGBALEPEDOGAN","","2010","24377"
"TOTSI","","2010","30455"
"SOVIEPE","","2010","11262"
"AVENOU BATOME","","2010","5263"
"MARITIME","","2010","1760389"
"GOLFE","","2010","731942"
"AFLAO-SAGBADO=SAGBADO","","2010","6837"
"AFLAO-SAGBADO=GBLENKOMEGAN","","2010","11302"
"AFLAO-SAGBADO=YOKOE KOPEGAN","","2010","9351"
"AFLAO-SAGBADO=YOKOE AGBLEGAN","","2010","5262"
"AFLAO-SAGBADO=ABLOGOME","","2010","4130"
"AFLAO-SAGBADO=WONYOME","","2010","3701"
"AFLAO-SAGBADO=LOGOTE","","2010","8708"
"AFLAO-SAGBADO=AWATAME","","2010","19375"
"AFLAO-SAGBADO=AGOTIME","","2010","2539"
