id,number,joint_subproject_number,title,type,subproject_type_designation,sector,works_type,component,projects,financiers,status,current_status_of_the_site,progress_percent,progress_value,estimated_cost,contract_amount_work_companies,total_contract_amount_paid,amount_of_the_care_and_maintenance_fund_expected,care_and_maintenance_amount_on_village_account,date_signature_contract_work_companies,date_signature_contract_efme,contract_companies_amount_for_efme,date_signature_contract_controllers_in_SES,date_of_signature_of_contract_for_construction_supervisors,approval_date_cora,launch_date,expected_duration,expected_end_date,work_completion_date,date_of_technical_acceptance_of_work,date_of_provisional_acceptance_of_work,official_handover_date_to_community,existence_of_maintenance_plan,wave,number_of_classrooms,number_of_infrastructures,population,direct_beneficiaries_men,direct_beneficiaries_women,women_s_group,youth_group,breeders_farmers_group,ethnic_minority_group,date_of_organization_of_the_social_audit,number_of_participants_m_in_social_audit,number_of_participants_w_in_social_audit,number_of_participants_t_in_social_audit,beneficiary_villages_count,beneficiary_villages,list_of_villages_crossed_by_track_or_electrification,infrastructure_changed,infrastructure_deleted,level_of_achievement_donation_certificate,comments,location_name,latitude,longitude,hierarchy,geometry,link_to_subproject,depth_of_drilling,drilling_flow_rate,number_of_latrine_blocks,has_latrine_blocs,storage_capacity,official_handover_date_to_sector,length_of_the_track,extension_length,number_of_drinking_fountains,estimated_number_of_beneficiaries,refugee_and_internally_displaced_persons_group,has_fence,number_of_sections_of_track_developed,amount_of_the_controllers_contract_in_SES,amount_of_the_contract_for_construction_supervisors,date_signature_contract_facilitator,amount_of_the_facilitator_contract,amount_spent_on_completing_the_infrastructure,amount_spent_on_infrastructure_up_to_provisional_acceptance,number_of_streetlights,distance_covered_by_streetlights,canton,market_name
584,2,1,Construction d'un centre communautaire à Alégba  + forage photovoltaïque à ALEGBA,Forage Photovoltaïque (Centre communautaire),Infrastructure,Eau–Hydraulique,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Remise de l'ouvrage à la communauté 100.0%,Réception définitive,100.0,100.0,20000000.0,13318882.0,13318882.0,250000.0,300000.0,2023-12-27,2023-12-27,13318882.0,2023-12-27,2023-12-27,2023-05-02,2024-01-04,3.0,2024-04-04,2024-02-23,2024-03-07,2024-03-07,2025-05-09,True,3,0.0,1,795.0,439.0,418.0,True,True,True,True,2024-10-29,44.0,47.0,91.0,1,1924,[],True,False,Juge,,ALEGBA,8.824055,1.606965,ALEGBA > BALANKA > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.606965 8.824055),583.0,53.0,3.6,,,,,,,,,,,,,,,,,,,,,
585,3,2,Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Subproject,Eau–Hydraulique,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Remise de l'ouvrage à la communauté 100.0%,Réception définitive,100.0,100.0,20000000.0,14147099.0,14147099.0,,250000.0,2023-07-31,,,2023-08-02,,2023-05-02,2023-08-06,3.0,2023-11-05,2023-12-31,2024-01-26,2024-01-26,2025-04-30,True,3,0.0,1,447.0,200.0,224.0,True,True,True,True,2024-11-06,38.0,37.0,75.0,1,4028,[],True,False,Juge,,ATONTOMI,8.888017,1.577222,ATONTOMI > BALANKA > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.577222 8.888017),,110.0,4.0,,,,,,,,,,,,,,,,,,,,,
587,5,4,Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Subproject,Eau–Hydraulique,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception provisoire 100.0%,Réception provisoire,100.0,100.0,20000000.0,14147099.0,14147099.0,,250000.0,2023-07-31,,,2023-08-02,2023-08-02,2023-05-02,2023-08-06,3.0,2023-11-05,2024-06-01,2024-06-13,2024-06-13,,False,3,0.0,1,400.0,196.0,204.0,True,True,True,True,2024-11-07,42.0,41.0,83.0,1,1926,[],True,False,Maire,,BELAGNI,8.918368,1.614907,BELAGNI > BALANKA > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.614907 8.918368),,92.0,4.0,,,,,,,,,,,,,,,,,,,,,
590,8,6,"Construction d'un bâtiment scolaire de 4 classes, bureau, magasin + forage au CEG Agbansikiti + équipements",Forages photovoltaïques dans les établissements scolaires,Infrastructure,Eau–Hydraulique,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Remise de l'ouvrage à la communauté 100.0%,Réception définitive,100.0,100.0,20000000.0,14147099.0,18179041.0,,250000.0,2023-07-31,,4031942.0,,,2023-05-02,2023-08-06,3.0,2023-11-05,2023-12-31,2025-04-30,2024-01-26,2025-04-30,False,3,0.0,1,1300.0,637.0,663.0,,,,,2025-11-26,36.0,15.0,51.0,1,1929,[],,False,Juge,,AGBANSIKITI,8.691495,1.619747,AGBANSIKITI > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.619747 8.691495),589.0,,,,,,,,,,,,,,,,,,,,,,,
591,9,7,Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Subproject,Eau–Hydraulique,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception technique 100.0%,Réception provisoire,100.0,100.0,20000000.0,14802637.0,14802637.0,,250000.0,2023-07-31,,,,,2023-05-02,2023-08-05,3.0,2023-11-04,2023-12-01,2025-04-28,2023-12-01,,True,3,0.0,1,1394.0,683.0,711.0,True,True,True,True,2024-01-17,27.0,25.0,52.0,1,1930,[],True,False,Juge,,ATAFA 2,8.694493,1.563569,ATAFA 2 > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.563569 8.694493),,,,,,,,,,,,,,,,,,,,,,,,
593,11,8,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage à l'EPP Boléa + équipements",Forages photovoltaïques dans les établissements scolaires,Infrastructure,Eau–Hydraulique,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception définitive 100.0%,Réception définitive,100.0,100.0,20000000.0,14147099.0,17147072.0,250000.0,250000.0,2023-07-31,2024-02-05,2999973.0,2024-02-02,2024-02-02,2023-05-02,2023-08-06,3.0,2023-11-05,2024-06-01,2024-06-04,2024-06-13,2025-08-27,False,3,0.0,1,2500.0,1225.0,1275.0,True,True,True,True,2024-11-06,47.0,27.0,74.0,1,1931,[],,False,Chef Canton,,BOLEA,8.528625,1.612648,BOLEA > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.612648 8.528625),592.0,64.0,2.0,,,,,,,,,,,,,,,,,,,,,
595,13,9,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Dogodè + équipements ",Forages photovoltaïques dans les établissements scolaires,Infrastructure,Eau–Hydraulique,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Remise de l'ouvrage à la communauté 100.0%,Réception définitive,100.0,100.0,20000000.0,12422082.0,12422082.0,,340000.0,2023-12-27,2024-02-05,,2024-02-05,2024-02-05,2023-05-02,2024-01-04,3.0,2024-04-04,2024-02-23,2024-04-09,2024-03-07,2025-05-09,False,3,0.0,1,752.0,352.0,400.0,True,True,True,True,2025-11-29,38.0,16.0,54.0,1,1932,[],True,False,Juge,,DOGODE,8.786747,1.630917,DOGODE > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.630917 8.786747),594.0,55.0,6.0,,,,,,,,,,,,,,,,,,,,,
598,16,12,Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Subproject,Eau–Hydraulique,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception technique 100.0%,Réception provisoire,100.0,100.0,20000000.0,15937331.0,15937331.0,,260000.0,2023-07-31,,,,,2023-05-02,2023-08-06,3.0,2023-11-05,2024-08-18,2025-05-08,2024-11-13,2024-11-13,True,3,0.0,1,1394.0,645.0,648.0,True,True,True,True,2024-12-12,65.0,42.0,107.0,1,4026,[],,False,Maire,,KALA 2,8.673588,1.604208,KALA 2 > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.604208 8.673588),,,,,,,,,,,,,,,,,,,,,,,,
602,20,14,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Lakaba + équipements ",Forages photovoltaïques dans les établissements scolaires,Infrastructure,Eau–Hydraulique,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Remise de l'ouvrage à la communauté 100.0%,Réception définitive,100.0,100.0,20000000.0,15257400.0,15257400.0,,330000.0,2023-07-31,,3098208.0,,,2023-05-02,2023-08-05,3.0,2023-11-04,2023-12-01,2025-05-08,2023-12-01,2025-05-08,True,3,0.0,1,700.0,343.0,357.0,True,True,True,True,2024-12-13,53.0,34.0,87.0,1,4025,[],,False,Juge,,LAKABA,0.0,0.0,LAKABA > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(0.0 0.0),601.0,,,,,,,,,,,,,,,,,,,,,,,
603,21,15,Réalisation d'un forage photovoltaïque pour eau de boisson ,Forages photovoltaïques dans les communautés pour eau de boisson,Subproject,Eau–Hydraulique,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Remise de l'ouvrage à la communauté 100.0%,Réception définitive,100.0,100.0,20000000.0,16121426.0,16121426.0,250000.0,254137.0,2023-07-31,,,,,2023-05-02,2023-08-05,3.0,2023-11-04,2024-02-23,2024-05-08,2024-03-07,2025-05-08,True,3,0.0,1,600.0,294.0,306.0,True,True,True,True,2024-03-08,23.0,30.0,53.0,1,4022,[],True,False,Juge,,ODORIN,8.594615,1.616948,ODORIN > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.616948 8.594615),,82.0,1471.0,,,,,,,,,,,,,,,,,,,,,
605,23,16,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Samaï + équipements ",Forages photovoltaïques dans les établissements scolaires,Infrastructure,Eau–Hydraulique,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception provisoire 100.0%,Réception provisoire,12.0,100.0,20000000.0,15937331.0,19003266.0,,35000.0,2023-07-31,,3065935.0,,,2023-05-02,2023-08-06,3.0,2023-11-05,2024-10-04,2024-08-08,2024-11-13,,False,3,0.0,1,2050.0,1004.0,1046.0,,,,,2024-12-06,56.0,20.0,76.0,1,4021,[],,False,Juge,,SAMAI,0.0,0.0,SAMAI > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(0.0 0.0),604.0,,,,,,,,,,,,,,,,,,,,,,,
